"instrument","field","sample","scale","shipped","source","anchor","kind","disposition","generated","script_commit","data_commit"
"csie","Population","1","—","American college students","undergraduates who participated in Study 1 of Locke & Sadler (2007)","CSIE_Norms.html sample description (retrieved 2026-08-06)","mismatch","intended-deviation","2026-08-07","7625109b","7625109b"
"csie","Angle","—","PA","90","not-published-in-source","not published — octant order given, degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","7625109b","7625109b"
"csie","Angle","—","BC","135","not-published-in-source","not published — octant order given, degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","7625109b","7625109b"
"csie","Angle","—","DE","180","not-published-in-source","not published — octant order given, degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","7625109b","7625109b"
"csie","Angle","—","FG","225","not-published-in-source","not published — octant order given, degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","7625109b","7625109b"
"csie","Angle","—","HI","270","not-published-in-source","not published — octant order given, degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","7625109b","7625109b"
"csie","Angle","—","JK","315","not-published-in-source","not published — octant order given, degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","7625109b","7625109b"
"csie","Angle","—","LM","360","not-published-in-source","not published — octant order given, degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","7625109b","7625109b"
"csie","Angle","—","NO","45","not-published-in-source","not published — octant order given, degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","7625109b","7625109b"
"csig","Population","1","—","MTurkers from US, Canada, and India about interactions between nations","MTurk respondents from the United States, Canada and India","p. 435 text, 'accessed and completed an online questionnaire through Amazon's Mechanical Turk website'; country breakdown same page","mismatch","intended-deviation","2026-08-07","7625109b","7625109b"
"csig","Angle","—","PA","90","not-published-in-source","not published — Figure 2 shows octant arrangement without degrees; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","7625109b","7625109b"
"csig","Angle","—","BC","135","not-published-in-source","not published — Figure 2 shows octant arrangement without degrees; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","7625109b","7625109b"
"csig","Angle","—","DE","180","not-published-in-source","not published — Figure 2 shows octant arrangement without degrees; degrees are package convention (IP2)","not-published","not-published-in-source","2026-08-07","7625109b","7625109b"
